0001 | Nevus | A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0235 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0236 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0237 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0238 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0239 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that a nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0240 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0241 | Basal cell carcinoma | RAG fact: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0242 | Basal cell carcinoma | RAG fact: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0243 | Basal cell carcinoma | RAG fact: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0244 | Basal cell carcinoma | RAG fact: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0245 | Basal cell carcinoma | RAG fact: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0246 | Basal cell carcinoma | RAG fact: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0247 | Basal cell carcinoma | RAG fact: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0248 | Basal cell carcinoma | RAG fact: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0249 | Basal cell carcinoma | RAG fact: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0250 | Basal cell carcinoma | RAG fact: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0251 | Basal cell carcinoma | Lesion summary: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0252 | Basal cell carcinoma | Lesion summary: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0253 | Basal cell carcinoma | Lesion summary: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0254 | Basal cell carcinoma | Lesion summary: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0255 | Basal cell carcinoma | Lesion summary: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0256 | Basal cell carcinoma | Lesion summary: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0257 | Basal cell carcinoma | Lesion summary: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0258 | Basal cell carcinoma | Lesion summary: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0259 | Basal cell carcinoma | Lesion summary: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0260 | Basal cell carcinoma | Lesion summary: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0261 | Basal cell carcinoma | Medical note: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0262 | Basal cell carcinoma | Medical note: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0263 | Basal cell carcinoma | Medical note: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0264 | Basal cell carcinoma | Medical note: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0265 | Basal cell carcinoma | Medical note: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0266 | Basal cell carcinoma | Medical note: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0267 | Basal cell carcinoma | Medical note: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0268 | Basal cell carcinoma | Medical note: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0269 | Basal cell carcinoma | Medical note: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0270 | Basal cell carcinoma | Medical note: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0271 | Basal cell carcinoma | Classification clue: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0272 | Basal cell carcinoma | Classification clue: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0273 | Basal cell carcinoma | Classification clue: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0274 | Basal cell carcinoma | Classification clue: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0275 | Basal cell carcinoma | Classification clue: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0276 | Basal cell carcinoma | Classification clue: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0277 | Basal cell carcinoma | Classification clue: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0278 | Basal cell carcinoma | Classification clue: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0279 | Basal cell carcinoma | Classification clue: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0280 | Basal cell carcinoma | Classification clue: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0281 | Basal cell carcinoma | Reference-backed statement: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0282 | Basal cell carcinoma | Reference-backed statement: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0283 | Basal cell carcinoma | Reference-backed statement: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0284 | Basal cell carcinoma | Reference-backed statement: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0285 | Basal cell carcinoma | Reference-backed statement: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0286 | Basal cell carcinoma | Reference-backed statement: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0287 | Basal cell carcinoma | Reference-backed statement: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0288 | Basal cell carcinoma | Reference-backed statement: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0289 | Basal cell carcinoma | Reference-backed statement: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0290 | Basal cell carcinoma | Reference-backed statement: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0291 | Basal cell carcinoma | Dermatology corpus line: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0292 | Basal cell carcinoma | Dermatology corpus line: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0293 | Basal cell carcinoma | Dermatology corpus line: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0294 | Basal cell carcinoma | Dermatology corpus line: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0295 | Basal cell carcinoma | Dermatology corpus line: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0296 | Basal cell carcinoma | Dermatology corpus line: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0297 | Basal cell carcinoma | Dermatology corpus line: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0298 | Basal cell carcinoma | Dermatology corpus line: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0299 | Basal cell carcinoma | Dermatology corpus line: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0300 | Basal cell carcinoma | Dermatology corpus line: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0301 | Seborrheic keratosis | Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0302 | Seborrheic keratosis | Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0303 | Seborrheic keratosis | Some people develop many seborrheic keratoses over time. | sources=S3,S15
0304 | Seborrheic keratosis | Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0305 | Seborrheic keratosis | The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0306 | Seborrheic keratosis | Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0307 | Seborrheic keratosis | A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0308 | Seborrheic keratosis | Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0309 | Seborrheic keratosis | Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0310 | Seborrheic keratosis | Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0311 | Seborrheic keratosis | Diagnostic note: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0312 | Seborrheic keratosis | Diagnostic note: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0313 | Seborrheic keratosis | Diagnostic note: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0314 | Seborrheic keratosis | Diagnostic note: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0315 | Seborrheic keratosis | Diagnostic note: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0316 | Seborrheic keratosis | Diagnostic note: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0317 | Seborrheic keratosis | Diagnostic note: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0318 | Seborrheic keratosis | Diagnostic note: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0319 | Seborrheic keratosis | Diagnostic note: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0320 | Seborrheic keratosis | Diagnostic note: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0321 | Seborrheic keratosis | Clinical teaching point: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0322 | Seborrheic keratosis | Clinical teaching point: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0323 | Seborrheic keratosis | Clinical teaching point: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0324 | Seborrheic keratosis | Clinical teaching point: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0325 | Seborrheic keratosis | Clinical teaching point: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0326 | Seborrheic keratosis | Clinical teaching point: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0327 | Seborrheic keratosis | Clinical teaching point: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0328 | Seborrheic keratosis | Clinical teaching point: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0329 | Seborrheic keratosis | Clinical teaching point: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0330 | Seborrheic keratosis | Clinical teaching point: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0331 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0332 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0333 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that some people develop many seborrheic keratoses over time. | sources=S3,S15
0334 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0335 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that the broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0336 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0337 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that a seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0338 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0339 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0340 | Seborrheic keratosis | For dermoscopy-focused retrieval, remember that morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0341 | Seborrheic keratosis | RAG fact: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0342 | Seborrheic keratosis | RAG fact: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0343 | Seborrheic keratosis | RAG fact: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0344 | Seborrheic keratosis | RAG fact: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0345 | Seborrheic keratosis | RAG fact: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0346 | Seborrheic keratosis | RAG fact: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0347 | Seborrheic keratosis | RAG fact: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0348 | Seborrheic keratosis | RAG fact: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0349 | Seborrheic keratosis | RAG fact: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0350 | Seborrheic keratosis | RAG fact: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0351 | Seborrheic keratosis | Lesion summary: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0352 | Seborrheic keratosis | Lesion summary: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0353 | Seborrheic keratosis | Lesion summary: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0354 | Seborrheic keratosis | Lesion summary: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0355 | Seborrheic keratosis | Lesion summary: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0356 | Seborrheic keratosis | Lesion summary: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0357 | Seborrheic keratosis | Lesion summary: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0358 | Seborrheic keratosis | Lesion summary: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0359 | Seborrheic keratosis | Lesion summary: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0360 | Seborrheic keratosis | Lesion summary: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0361 | Seborrheic keratosis | Medical note: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0362 | Seborrheic keratosis | Medical note: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0363 | Seborrheic keratosis | Medical note: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0364 | Seborrheic keratosis | Medical note: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0365 | Seborrheic keratosis | Medical note: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0366 | Seborrheic keratosis | Medical note: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0367 | Seborrheic keratosis | Medical note: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0368 | Seborrheic keratosis | Medical note: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0369 | Seborrheic keratosis | Medical note: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0370 | Seborrheic keratosis | Medical note: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0371 | Seborrheic keratosis | Classification clue: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0372 | Seborrheic keratosis | Classification clue: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0373 | Seborrheic keratosis | Classification clue: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0374 | Seborrheic keratosis | Classification clue: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0375 | Seborrheic keratosis | Classification clue: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0376 | Seborrheic keratosis | Classification clue: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0377 | Seborrheic keratosis | Classification clue: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0378 | Seborrheic keratosis | Classification clue: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0379 | Seborrheic keratosis | Classification clue: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0380 | Seborrheic keratosis | Classification clue: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0381 | Seborrheic keratosis | Reference-backed statement: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0382 | Seborrheic keratosis | Reference-backed statement: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0383 | Seborrheic keratosis | Reference-backed statement: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0384 | Seborrheic keratosis | Reference-backed statement: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0385 | Seborrheic keratosis | Reference-backed statement: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0386 | Seborrheic keratosis | Reference-backed statement: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0387 | Seborrheic keratosis | Reference-backed statement: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0388 | Seborrheic keratosis | Reference-backed statement: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0389 | Seborrheic keratosis | Reference-backed statement: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0390 | Seborrheic keratosis | Reference-backed statement: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0391 | Seborrheic keratosis | Dermatology corpus line: Seborrheic keratosis is a harmless benign epidermal lesion. | sources=S3,S15
0392 | Seborrheic keratosis | Dermatology corpus line: Seborrheic keratosis is a common sign of skin ageing. | sources=S3,S15
0393 | Seborrheic keratosis | Dermatology corpus line: Some people develop many seborrheic keratoses over time. | sources=S3,S15
0394 | Seborrheic keratosis | Dermatology corpus line: Seborrheic keratosis is also called SK, basal cell papilloma, senile wart, brown wart, wisdom wart, or barnacle. | sources=S3,S15
0395 | Seborrheic keratosis | Dermatology corpus line: The broader term benign keratosis can include seborrheic keratosis, solar lentigo, and lichen planus-like keratosis. | sources=S3,S15
0396 | Seborrheic keratosis | Dermatology corpus line: Seborrheic keratosis can resemble malignant lesions and sometimes needs careful examination. | sources=S3,S15
0397 | Seborrheic keratosis | Dermatology corpus line: A seborrheic keratosis is benign and not itself a skin cancer. | sources=S3,S15
0398 | Seborrheic keratosis | Dermatology corpus line: Seborrheic keratosis often presents as a warty or stuck-on appearing lesion. | sources=S3,S15
0399 | Seborrheic keratosis | Dermatology corpus line: Middle-aged and older adults commonly develop seborrheic keratoses. | sources=S3,S15
0400 | Seborrheic keratosis | Dermatology corpus line: Morphologic overlap between seborrheic keratosis and malignant lesions can create diagnostic difficulty. | sources=S3,S15
0401 | Solar or actinic keratosis | Actinic keratosis is an irregular skin-colored, red, or pigmented papule or plaque on sun-damaged skin. | sources=S4,S16,S17,S18
0402 | Solar or actinic keratosis | Actinic keratosis often occurs on the bald scalp, ear, face, or back of the hand. | sources=S4,S16,S17,S18
0403 | Solar or actinic keratosis | Multiple actinic keratoses are often present in the same patient. | sources=S4,S16,S17,S18
0404 | Solar or actinic keratosis | A white, yellow, scaly, warty, or horny surface is a typical clinical clue for actinic keratosis. | sources=S4,S16,S17,S18
0405 | Solar or actinic keratosis | Actinic keratosis may be tender or easier to feel than to see. | sources=S4,S16,S17,S18
0406 | Solar or actinic keratosis | Actinic keratosis is considered a precancerous lesion caused by too much sun exposure. | sources=S4,S16,S17,S18
0407 | Solar or actinic keratosis | Actinic keratosis can progress to squamous cell carcinoma in some cases. | sources=S4,S16,S17,S18
0408 | Solar or actinic keratosis | Facial nonpigmented actinic keratosis often shows a strawberry pattern on dermoscopy. | sources=S4,S16,S17,S18
0409 | Solar or actinic keratosis | The strawberry pattern includes a pink background with a pseudonetwork around follicular openings. | sources=S4,S16,S17,S18
0410 | Solar or actinic keratosis | Rosettes, keratotic plugs, and surface scale are dermoscopic clues that may support actinic keratosis. | sources=S4,S16,S17,S18
0411 | Solar or actinic keratosis | Diagnostic note: Actinic keratosis is an irregular skin-colored, red, or pigmented papule or plaque on sun-damaged skin. | sources=S4,S16,S17,S18
0412 | Solar or actinic keratosis | Diagnostic note: Actinic keratosis often occurs on the bald scalp, ear, face, or back of the hand. | sources=S4,S16,S17,S18
0413 | Solar or actinic keratosis | Diagnostic note: Multiple actinic keratoses are often present in the same patient. | sources=S4,S16,S17,S18
0414 | Solar or actinic keratosis | Diagnostic note: A white, yellow, scaly, warty, or horny surface is a typical clinical clue for actinic keratosis. | sources=S4,S16,S17,S18
0415 | Solar or actinic keratosis | Diagnostic note: Actinic keratosis may be tender or easier to feel than to see. | sources=S4,S16,S17,S18
0416 | Solar or actinic keratosis | Diagnostic note: Actinic keratosis is considered a precancerous lesion caused by too much sun exposure. | sources=S4,S16,S17,S18
0417 | Solar or actinic keratosis | Diagnostic note: Actinic keratosis can progress to squamous cell carcinoma in some cases. | sources=S4,S16,S17,S18
0418 | Solar or actinic keratosis | Diagnostic note: Facial nonpigmented actinic keratosis often shows a strawberry pattern on dermoscopy. | sources=S4,S16,S17,S18
0419 | Solar or actinic keratosis | Diagnostic note: The strawberry pattern includes a pink background with a pseudonetwork around follicular openings. | sources=S4,S16,S17,S18
0420 | Solar or actinic keratosis | Diagnostic note: Rosettes, keratotic plugs, and surface scale are dermoscopic clues that may support actinic keratosis. | sources=S4,S16,S17,S18
0421 | Solar or actinic keratosis | Clinical teaching point: Actinic keratosis is an irregular skin-colored, red, or pigmented papule or plaque on sun-damaged skin. | sources=S4,S16,S17,S18
0422 | Solar or actinic keratosis | Clinical teaching point: Actinic keratosis often occurs on the bald scalp, ear, face, or back of the hand. | sources=S4,S16,S17,S18
0423 | Solar or actinic keratosis | Clinical teaching point: Multiple actinic keratoses are often present in the same patient. | sources=S4,S16,S17,S18
0424 | Solar or actinic keratosis | Clinical teaching point: A white, yellow, scaly, warty, or horny surface is a typical clinical clue for actinic keratosis. | sources=S4,S16,S17,S18
0425 | Solar or actinic keratosis | Clinical teaching point: Actinic keratosis may be tender or easier to feel than to see. | sources=S4,S16,S17,S18
0426 | Solar or actinic keratosis | Clinical teaching point: Actinic keratosis is considered a precancerous lesion caused by too much sun exposure. | sources=S4,S16,S17,S18
0427 | Solar or actinic keratosis | Clinical teaching point: Actinic keratosis can progress to squamous cell carcinoma in some cases. | sources=S4,S16,S17,S18
0428 | Solar or actinic keratosis | Clinical teaching point: Facial nonpigmented actinic keratosis often shows a strawberry pattern on dermoscopy. | sources=S4,S16,S17,S18
0429 | Solar or actinic keratosis | Clinical teaching point: The strawberry pattern includes a pink background with a pseudonetwork around follicular openings. | sources=S4,S16,S17,S18
0430 | Solar or actinic keratosis | Clinical teaching point: Rosettes, keratotic plugs, and surface scale are dermoscopic clues that may support actinic keratosis. | sources=S4,S16,S17,S18
0431 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that actinic keratosis is an irregular skin-colored, red, or pigmented papule or plaque on sun-damaged skin. | sources=S4,S16,S17,S18
0432 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that actinic keratosis often occurs on the bald scalp, ear, face, or back of the hand. | sources=S4,S16,S17,S18
0433 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that multiple actinic keratoses are often present in the same patient. | sources=S4,S16,S17,S18
0434 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that a white, yellow, scaly, warty, or horny surface is a typical clinical clue for actinic keratosis. | sources=S4,S16,S17,S18
0435 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that actinic keratosis may be tender or easier to feel than to see. | sources=S4,S16,S17,S18
0436 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that actinic keratosis is considered a precancerous lesion caused by too much sun exposure. | sources=S4,S16,S17,S18
0437 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that actinic keratosis can progress to squamous cell carcinoma in some cases. | sources=S4,S16,S17,S18
0438 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that facial nonpigmented actinic keratosis often shows a strawberry pattern on dermoscopy. | sources=S4,S16,S17,S18
0439 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that the strawberry pattern includes a pink background with a pseudonetwork around follicular openings. | sources=S4,S16,S17,S18
0440 | Solar or actinic keratosis | For dermoscopy-focused retrieval, remember that rosettes, keratotic plugs, and surface scale are dermoscopic clues that may support actinic keratosis. | sources=S4,S16,S17,S18
0441 | Solar or actinic keratosis | RAG fact: Actinic keratosis is an irregular skin-colored, red, or pigmented papule or plaque on sun-damaged skin. | sources=S4,S16,S17,S18
0442 | Solar or actinic keratosis | RAG fact: Actinic keratosis often occurs on the bald scalp, ear, face, or back of the hand. | sources=S4,S16,S17,S18
0443 | Solar or actinic keratosis | RAG fact: Multiple actinic keratoses are often present in the same patient. | sources=S4,S16,S17,S18
